jammerlich-adj; adv	pathetic; miserably
Darsteller-M	actor
datieren-vb	date
dazugehören-vb	belong
donnernd-adj; adv	thunderous;
Dozent-M	lecturer
Drachen-M	kite
drankriegen-vb	nail (coll)
Deckmantel-M	cloak, guise
Deck-N	deck
degradieren-vb	degrade
draufsetzen-vb	sit on it (coll)
draufstehen-vb	be written on, say
Drehbuch-N	script
Drogenbehörde-F	drug enforcement
dekorieren-vb	decorate
Delegation-F	delegation
Drogerie-F	drugstore
drosseln-vb	throttle, slow down
drumherum-adv	around
durchgeben-vb	enforcement
durchgeknallt-adj	nuts (coll)
durchkreuzen-vb	thwart, cross
durchleben-vb	undergo
durchlöchern-vb	perforate
durchnässen-vb	soak
dichtmachen-vb	shut down (coll)
Diebesgut-N	stolen goods
Diener-M	servant
dienstlich-adj; adv	official; officially
Diktator-M	dictator
diktieren-vb	dictate
dinieren-vb	dine (fml)
Diplomatie-F	diplomacy
Denkzettel-M	punishment, lesson
Drüse-F	gland
Derby-N	derby
duellieren-vbr	duel
derweil-adv	meanwhile
Duett-N	duet
duften-vb	smell
desertieren-vb	desert
Dunst-M	haze, mist
Duplikat-N	duplicate
diagnostizieren-vb	diagnose
durchbringen-vb	see through
Diakon-M	deacon
durchfahren-vb	pass through
Dialyse-F	dialysis
Durchführung-F	implementation,
Einöde-F	wasteland
einordnen-vb	classify
einplanen-vb	schedule
einreiben-vb	rub (in)
einsacken-vb	sack, pocket (coll)
einsammeln-vb	collect
einschleusen-vb	plant
einschnappen-vb	snap
einschreiten-vb	intervene
einstudieren-vb	rehearse
einstürzen-vb	collapse
Einsturz-M	collapse
einstweilig-adj;	temporary; temporarily
einweihen-vb	inaugurate, christen
Einweisung-F	instruction
einwerfen-vb	interject, throw in
einwickeln-vb	wrap
einwilligen-vb	comply, approve
Einwohner-M	inhabitant
einzahlen-vb	deposit
eisig-adj; adv	icy; icily
Elektrik-F	electricity
Elfe-F	elf
Empfangsdame-F	receptionist
empörend-adj	outrageous
energisch-adj; adv	energetic; vigorously
entern-vb	board
durchstellen-vb	put through
durchtrennen-vb	sever
Düse-F	nozzle
duzen-vb	address informally
Eber-M	boar
Edelstein-M	gem
ehelichen-vb	marry (fml)
ehemals-adv	formerly, previously
ehrbar-adj; adv	honorable; respectably
ehrwürdig-adj	dignified
eigens-adv	specially, specifically
einäschern-vb	cremate
Einberufung-F	convocation, convening
einbrennen-vb; N	brand; baking
einbuchen-vb	register
Einfachheit-F	simplicity
einfahren-vb	retract, arrive
einfallsreich-adj;	imaginative;
einfältig-adj; adv	resourcefully
Einfaltspinsel-M	simpleton
einfliegen-vb	approach, fly in
einflussreich-adj	influential
einfügen-vb	insert
Eingabe-F	input, feed
eingraben-vb	bury
eingrenzen-vb	contain, limit
einkreisen-vb	circle
einlaufen-vb	shrink, arrive
einleben-vbr	settle
Einlieferung-F	referral, admission
entfesseln-vb	unleash
entflammen-vb	inflame
erhellen-vb	lighten (up)
erkaufen-vb	buy
erkenntlich-adj	grateful, recognizable
entheben-vb	relieve
erklimmen-vb	scale (fml)
Enthüllung-F	revelation
erklingen-vb	(re)sound, ring out
entlasten-vb	relieve, release
Entlein-N	duckling
erliegen-vb	succumb
entmutigen-vb	discourage
erörtern-vb	discuss
entreißen-vb	wrest
entrinnen-vb	escape (fml)
entsenden-vb	send
erröten-vb	blush
entsichern-vb; N	unlock; unlocking
erschallen-vb	resound (fml)
entspannend-adj	relaxing
entspringen-vb	spring from, originate
erstbeste-adj	(very) first
enttarnen-vb	expose
erstehen-vb	purchase, arise
enttäuschend-adj	disappointing
entwaffnen-vb	disarm
ersuchen-vb; N	request
Entzündung-F	inflammation
Epilepsie-F	epilepsy
erwägen-vb	consider
erahnen-vb	imagine
Erwähnung-F	mention, reference
erwärmen-vb	warm (up)
erwirken-vb	obtain
erzürnen-vb	anger
erbeuten-vb	obtain, capture
erblinden-vb	go blind
erblühen-vb	bloom
erdenklich-adj;	imaginable; imaginably
Erdöl-N	(crude) oil
erdrosseln-vb	strangle
erdrücken-vb	overwhelm, crush
erfrischen-vb	refresh
ergo-adv	ergo
ergründen-vb	fathom
Erhalt-M	receipt, preservation
etabliert-adj	established
Etikett-N	label
Etui-N	case
existierend-adj	existing
Exkursion-F	excursion
expandieren-vb	expand
Expansion-F	expansion
Export-M	export
exquisit-adj; adv	exquisite; exquisitely
fabrizieren-vb	manufacture
Fahrschein-M	ticket
Fallschirmjäger-M	paratrooper
Falltür-F	trapdoor
Familienleben-N	home life
farbenblind-adj	colorblind
Fasan-M	pheasant
fassungslos-adj;	stunned; in disbelief
Faszination-F	fascination
Faulheit-F	laziness
Fechter-M	fencer
Fehde-F	feud
fehlerhaft-adj;	faulty; incorrectly
Fehltritt-M	lapse, misstep
Feierlichkeit-F	solemnity, ceremony
Feindschaft-F	hostility
Fell-N	fur
Ferienlager-N	summer camp
fertigen-vb	manufacture
fertigstellen-vb	finish
Fertigstellung-F	completion
festbinden-vb	tie
festfahren-vb	get stuck
festigen-vb	consolidate
Festival-N	festival
festmachen-vb	fasten, attach
Festmahl-N	feast
fettig-adj	greasy
feuerbereit-adj	ready to fire
feurig-adj; adv	fiery; ardently
Fiedler-M	fiddler
Filmgeschäft-N	film industry
Filou-M	rogue (coll)
Filzlaus-F	crab (louse)
Filz-M	felt
Fingerspitze-F	fingertip
Fitnessstudio-N	gym
Fleischfresser-M	carnivore
flennen-vb	cry (coll)
flink-adj; adv	swift; nimbly
Flirt-M	flirt
Flohmarkt-M	flea market
Fluch-M	curse
Flugfeld-N	airfield (AT)
Flussufer-N	riverbank
Flutwelle-F	tidal wave
Föhn-M	hairdryer
Fokus-M	focus
formell-adv; adj	formally; formal
Formsache-F	technicality
fortwährend-adj;	perpetual; perpetually
fossil-adj; N	fossil
Fotoapparat-N	camera
Frachtraum-M	cargo hold
Fragebogen-M	questionnaire
Fragerei-F	questions (coll)
fraglich-adj; adv	questionable; in
Fratze-F	question
Frauenarzt-M	gynecologist
freikaufen-vb	buy freedom
freudig-adj; adv	happy; joyfully
frigide-adj	frigid
Friseuse-F	hairdresser (coll)
Fruchtblase-F	water, amniotic sac
Frust-M	frustration (coll)
Fügung-F	providence
fungieren-vb	act as
Funkgerät-N	radio
funktionsfähig-adj	functional
gefühlvoll-adj; adv	emotional; emotionally
gegeben-adj	given, factual
Gegengift-N	antidote
Gegenseitigkeit-F	reciprocity
Funkverbindung-F	radio connection
fürsorglich-adj	caring
fürwahr-adv	indeed (fml)
Fusel-M	booze (coll)
Geheimgang-M	secret passage
gackern-vb	cackle
gähnen-vb; N	yawn
galant-adj; adv	gallant; gallantly
Gänseblümchen-N	daisy
geheuer-adj	safe, comfortable
Geheul-N	bawling
gehoben-adj	upper, sophisticated
Gasthof-M	inn
Gebärmutter-F	uterus
Gebell-N	barking
Geber-M	donor
Gehweg-M	sidewalk
Geiselnahme-F	hostage taking
geistesgestört-adj	deranged
Geizkragen-M	miser (coll)
gekühlt-adj	chilled
geladen-adj	angry (coll), loaded
Geldmenge-F	money supply
Geldwäsche-F	money laundering
Gebräu-N	concoction
Gemeinheit-F	dirty trick
Gemütlichkeit-F	coziness
Gemüt-N	disposition, mind
genehm-adj	convenient (fml)
Generalprobe-F	dress rehearsal
gedeihen-vb	thrive
Gedränge-N	crowd
gedulden-vbr	be patient
Gefährdung-F	threat
Gefangennahme-F	capture
Genialität-F	genius
Geologie-F	geology
Gepäckträger-M	luggage carrier
Gefängnisstrafe-F	prison sentence
Gefechtsstand-M	command post
Gefrierschrank-M	freezer
gefügig-adj; adv	compliant; compliantly
geraum-adj	considerable
geräumig-adj; adv	spacious; spaciously
Gerinnsel-N	clot
Gerüst-N	framework, scaffolding
Geschicklichkeit-F	skill
Geschwader-N	squadron
Geschwafel-N	gibberish (coll)
geschwind-adj;	quick; quickly (coll)
gesellig-adj	sociable
Gesichtszug-M	feature
Gesinnung-F	attitude
Gespann-N	team
Geständnis-N	confession
gestreift-adj	striped
Gesuch-N	request, petition
gewahrt-adj	maintained, respected
gewissenhaft-adj;	diligent; diligently
gewünscht-adj	required, desired
Ghetto-N	ghetto
glasklar-adj	crystal clear
glaubhaft-adj; adv	credible; credibly
glitschig-adj	slippery
glitzern-vb; N	sparkle
Glückseligkeit-F	bliss
Glückstreffer-M	lucky shot
glühend-adj; adv	glowing; glowingly
Gönner-M	patron
Göttlichkeit-F	divinity
Grauen-N; vb	horror; dawn
Gravitation-F	gravity
greifbar-adj; adv	tangible; tangibly
grell-adj; adv	harsh; glaringly
grenzenlos-adj;	unlimited; infinitely
grimmig-adj; adv	grim; grimly
großmütig-adj;	generous; generously
Grübchen-N	dimple
grundgütig-adj	gracious
Grünzeug-N	greens (coll)
gruppieren-vb	cluster
Gurgel-F	throat
gurgeln-vb	gargle
gurren-vb	coo
Guthaben-N	credit
gutheißen-vb	endorse, ratify
guttun-vb	do good
Gynäkologe-M	gynecologist
haften-vb; N	adhere; adherence
halbieren-vb	cut in half
Handfläche-F	palm
Hängematte-F	hammock
Hanswurst-M	buffoon
Häufchen-N	handful
Hauptgewinn-M	jackpot
häuslich-adj; adv	domesticated;
Hausnummer-F	domestically
Heer-N	army
Heide-M; F	pagan; heather
heidnisch-adj	pagan
Heiland-M	savior
heilend-adj; adv	healing; medicinally
heimsuchen-vb	haunt
heimtückisch-adj	treacherous
heimzahlen-vb	get back at (coll)
heiser-adj; adv	husky; huskily
Hemisphäre-F	hemisphere
herablassend-adj;	condescending;
herausputzen-vb	dress up
herausreißen-vb	tear out
herbestellen-vb	call in
herfallen-vb	attack
hergerissen-adj	conflicted
herkriegen-vb	get (coll)
hernehmen-vb	get
Herrenhaus-N	mansion
herrschend-adj	ruling, dominant
herumführen-vb	conduct, show around
herumliegen-vb	lie around
Herzfrequenz-F	heart rate
hierlassen-vb	leave
Hilfsmittel-N	means, aid
hinauswerfen-vb	throw out
hinauszögern-vb	stall
Hinblick-M	regard
hinhauen-vb	work (coll)
hinken-vb; N	limp
hinknien-vbr	kneel down
hinschauen-vb	look
hinschmeißen-vb	quit (coll)
hinterlegen-vb	deposit, lodge
hintun-vb	put (coll)
Hochachtung-F	appreciation
hochhalten-vb	uphold
hochklettern-vb	climb up
hochmütig-adj;	haughty; haughtily
infiltrieren-vb	infiltrate
infolge-adv; prp	as a result; owing to
Infusion-F	infusion
Inhaber-M	owner
inhalieren-vb; N	inhale; inhalation
injizieren-vb	inject
Innenseite-F	interior
innig-adj; adv	intimate; dearly
Inserat-N	ad
inständig-adv; adj	urgently; imploring
Intimität-F	intimacy
Inventar-N	inventory
Inventur-F	inventory
Joch-N	yoke
jonglieren-vb; N	juggle; juggling
Judentum-N	Judaism
Jurist-M	lawyer
Kabeljau-M	cod
Kaffeepause-F	coffee break
Kajüte-F	cabin
holprig-adj; adv	rough; roughly
Holzkopf-M	bonehead (coll)
Holzschnitt-M	woodcut
Hommage-F	homage
horchen-vb	listen (fml)
huckepack-adv; M	piggyback
Hufschmied-M	blacksmith
Hühnerstall-M	henhouse
huldigen-vb	worship
Hülse-F	sheath
Hundegebell-N	dog barking
Hungersnot-F	famine
Hungerstreik-M	hunger strike
hurtig-adj; adv	swift; swiftly
Hustensaft-F	cough syrup
Hyäne-F	hyena
Hydraulik-F	hydraulics
Hymne-F	anthem
hypothetisch-adj; adv	hypothetical; hypothetically
Idealist-M	idealist
Ideologie-F	ideology
ignorant-adj; M	ignorant (coll)
Ignoranz-F	ignorance
Immunität-F	immunity
impfen-vb	vaccinate
Impfstoff-M	vaccine
implantieren-vb	implant
imponieren-vb	impress
inbegriffen-adj;	included; including
Kalbfleisch-N	veal
knipsen-vb	snap (coll)
kaltmachen-vb	kill (coll)
knirschen-vb; N	crunch; grinding
Kalzium-N	calcium
Knopfdruck-M	push of a button
kampfbereit-adj	ready to fight
kampflos-adv; adj	without a fight
Kanarienvogel-M	canary
Kochtopf-M	saucepan
Kanonenkugel-F	cannonball
Kollaps-M	collapse
Kapazität-F	capacity, expert
kollektiv-adj; adv	collective; collectively
kapern-vb	capture
Kolonne-N	convoy
Kapitän-M	captain
kaputtgehen-vb	break down
Kassierer-M	cashier, clerk
Kaste-F	caste
kastrieren-vb	castrate
Komplexität-F	complexity
Katakombe-F	catacomb
Kegel-M	cone
Keil-M	wedge
Keim-M	germ, seed
Kennwort-N	password
Kettensäge-F	chainsaw
keusch-adj; adv	chaste; chastely
Keuschheit-F	chastity
kinderleicht-adj	very easy
Kinderschänder-M	child molester
Kiosk-M	kiosk
Kondensator-M	capacitor
Konditorei-F	confectionery
Konföderation-F	confederacy
konföderiert-adj	confederate
konform-vb	compliant
Konkurs-M	bankruptcy
Konstellation-F	constellation
Konsument-M	consumer
Kirmes-F	fair
klamm-adj; F	clammy; ravine
klatschnass-adj	soaking wet (coll)
Klausur-F	exam
klebrig-adj; adv	sticky; stickily
Klebstoff-M	glue
Kleinholz-N	firewood
Kloster-N	monastery
Klotz-M	block, chunk
Klugheit-F	wisdom
knackig-adj	crisp
Knast-M	slammer
Kniescheibe-F	kneecap
Kontext-M	context
Kontostand-M	account balance
Kontrolleur-M	inspector
kontrovers-adj;	controversial;
konvertieren-vb	controversially
Koordination-F	coordination
Kopfverletzung-F	head injury
Korkenzieher-M	corkscrew
Körperbau-M	build
Kosmetikerin-F	cosmetician
kostspielig-adj	costly
Kostüm-N	costume
krabbeln-vb	crawl
krankhaft-adj; adv	morbid; morbidly
kraus-adj	curly
Krawall-M	ruckus
Krempel-M	stuff (coll)
leger-adj; adv	casual; casually
legitim-adj; adv	legitimate; legitimately
lehrreich-adj	educational
Leichenwagen-M	hearse
Kreuzfeuer-N	crossfire
Kreuzigung-F	crucifixion
Leitartikel-M	editorial
Lektüre-F	read(ing)
Leopard-M	leopard
Kriegsschiff-N	warship
Lerche-F	lark
Kripo-F	crime squad
Leuchtfeuer-N	beacon
Krippe-F	crib
Lichtjahr-N	light year
Liebchen-N	sweetheart (fml)
krönen-vb	crown, top
Liebesnest-N	love nest (coll)
krümmen-vb	bend, squirm
liebkosen-vb	caress
Kruzifix-N	crucifix
kühlen-vb	chill
liieren-vb	hook up
Kühlraum-M	freezer
Lilie-F	lily
Kult-M	cult
liquidieren-vb	unwind, liquidate
lockern-vb	loosen, relax
Kundgebung-F	rally, demonstration
Lorbeer-M	laurel, bay
losschicken-vb	send (out)
Kurator-M	curator
Lotion-F	lotion
kurieren-vb	cure
Lotus-M	lotus
kursieren-vb	circulate
Luftröhre-F	windpipe
Kurzform-F	short form
Luftschacht-M	air shaft
kuscheln-vb	cuddle
Kutte-F	habit
lachhaft-adj; adv	ludicrous; ludicrously
Laichzeit-F	spawning season
Larve-F	larva
Läuterung-F	catharsis
Lavendel-N; adj	lavender
lynchen-vb; N	lynch; lynching
Maat-M	mate
Mädchenname-M	maiden name
Magenschmerz-M	stomach pain
Magister-M	Master's degree
Magnetfeld-N	magnetic field
leblos-adj; adv	lifeless; lifelessly
Makrele-F	mackerel
Manifest-N	manifesto
manövrieren-vb	maneuver
Markenzeichen-N	trademark
mitsingen-vb	sing along
Mitspieler-M	teammate
mittelalterlich-adj	medieval
Mittelamerika-N	Central America
mittelmäßig-adj	mediocre
maskieren-vb	mask
massenhaft-adv;	plenty of; plentiful
massenweise-adv	tons of
Master-M	master
Möchtegern-M	wannabe (coll)
Modenschau-F	fashion show
Modul-N/M	module
Masturbation-F	masturbation
Möhre-F	carrot
Mätresse-F	mistress
matsch-adj; M	exhausted (coll); mud
meditieren-vb	meditate
Monolog-M	monologue
montieren-vb	mount, install
Meeresspiegel-M	sea level
Melder-M	messenger, detector
Morgenrock-M	robe
Mentalität-F	mentality
Merkur-M	Mercury
Metier-N	profession
Metzgerei-F	butcher's (shop)
Müllabfuhr-F	refuse collection
Mietvertrag-M	lease
Müllhalde-F	(garbage) dump
mimen-vb	mime
multipel-adj	multiple (fml)
minder-adv; adj	less; inferior
Mündung-F	mouth, muzzle
missfallen-vb; adj	displease; displeased
Münztelefon-N	pay phone
Murmeltier-N	groundhog
miterleben-vb	witness, see
mitgeben-vb	give
mithelfen-vb	help
mithören-vb	listen
Mysterium-N	mystery
nichtig-adj	void
mystisch-adj; adv	mystical; mystically
Nabel-M	navel
nachahmen-vb	imitate
niederknien-vb	kneel down
niederschießen-vb	shoot
niederträchtig-adj	vile
Nachfahre-M	descendant
nachforschen-vb	investigate
Nominierung-F	nomination
Nachlass-M	discount, legacy
nachprüfen-vb	verify
nordwärts-adv	northward
nachschlagen-vb	look up
nörgeln-vb	nag
Normalität-F	normality
nächtelang-adv	night after night
Notbremse-F	emergency brake
nächtlich-adj; adv	nightly
Notlage-F	plight, emergency
nachtragend-adj;	resentful; resentfully
nuklear-adj	nuclear
nagen-vb	gnaw
Näherin-F	seamstress
nahrhaft-adj; adv	nutritious; nourishingly
nutzbar-adj	usable
Naivität-F	naivety
Namensschild-N	name tag
närrisch-adj; adv	foolish; madly
Nationalität-F	nationality
Oase-F	oasis
Obduktion-F	autopsy
obenauf-adv	on top
Oberfeldwebel-M	staff sergeant
nebenher-adv	on the side
Nebenzimmer-N	other room
neblig-adj	foggy
Obstgarten-N	orchard
necken-vb	tease
obszön-adj; adv	obscene; obscenely
Ödland-N	wasteland
Nervenkitzel-M	thrill (coll)
Nervenklinik-F	mental institution
neugeboren-adj	newborn
okkult-adj; adv	occult; occultly
Ökonomie-F	economics
Opossum-N	possum
neutralisieren-vb	neutralize
Optimist-M	optimist
oral-adj	oral
Orgie-F	orgy
orientalisch-adj	Oriental
orientieren-vb	orientate
Orientierung-F	orientation
Ortung-F	location
Ouvertüre-F	overture
Paarung-F	pairing, mating
paddeln-vb	paddle
Palais-N	palace
Panther-M	panther
Parodie-F	parody
Parzelle-F	plot, lot
Passierschein-M	pass
Pastete-F	pie
Patenkind-N	godchild
Pferdeschwanz-M	ponytail
Pflaume-F	plum
pflügen-vb	plow
Pflug-M	plow
Pförtnerhaus-N	gatehouse
Pförtner-M	janitor
Pfosten-M	post, pole
pingelig-adj; adv	philosophically
Plackerei-F	slog (coll)
Plakette-F	badge
Platin-N	platinum
platschen-vb; N	splash
plätschern-vb	splash
Plattenspieler-M	record player
Platzpatrone-F	blank (cartridge)
plausibel-adj	plausible
pochen-vb	throb, knock
Podium-N	platform, stage
Polka-F	polka
Polster-N/M	cushion
Polyp-M	polyp, octopus
Pomade-F	pomade
Popmusik-F	pop music
Popularität-F	popularity
Pore-F	pore
Portal-N	portal
Portwein-M	port
Porzellan-N	porcelain
Prachtkerl-M	hunk (coll)
Präfekt-M	prefect
prahlen-vb; N	boast
prall-adj; adv	bulging, plumply
präparieren-vb	groom, prepare
präsent-adj; N	present; gift (fml)
Präsidentschaft-F	presidency
Preisgeld-N	prize money
Quellcode-M	source code
Prellung-F	contusion
quittieren-vb	confirm, sign for
Pressesprecher-M	publicist
Primat-M; M/N	primate; primacy
Prise-F	prize, pinch
Rächer-M	avenger
Privatisierung-F	privatization
Racker-M	rascal (coll)
Raffinerie-F	refinery
Rammbock-M	battering ram
ranfahren-vb	pull over
rapide-adj; adv	rapid; rapidly
Programmierer-M	programmer
Rapport-M	report
rar-adj	rare
Rasierklinge-F	razor blade
Rasierwasser-N	aftershave
rasseln-vb; N	rattle; rattling
Rassismus-M	racism
Raster-N; M	grid; raster
Projektion-F	projection
Projektor-M	projector
Promotion-F	promotion, graduation
prompt-adj; adv	prompt; promptly
Prothese-F	prosthesis
rastlos-adj; adv	restless; restlessly
Rasur-F	shave
Proton-N	Proton
protzig-adj; adv	swanky; swankily
Provokation-F	provocation
Prozession-F	procession
prüde-adj; adv	prim; prudishly
Pseudonym-N	pseudonym
pudern-vb	powder
Pulle-F	bottle (coll)
Pulsader-F	artery
Puma-M	cougar
Punktestand-M	score
Pünktlichkeit-F	punctuality
Punktzahl-F	score
Quacksalber-M	quack
qualvoll-adj; adv	painful; painfully
Rattengift-N	rat poison
(he)rausgeben-vb	issue
(he)rausreißen-vb	tear out
Räumung-F	eviction, clearance
Raupe-F	caterpillar
rausrücken-vb	come clean (coll)
rausrutschen-vb	slip (coll)
rechtschaffen-adj	righteous
Rechtssystem-N	legal system
recken-vb; N	strain; stretching
Redefreiheit-F	freedom of speech
Redewendung-F	expression
redlich-adj; adv	honest; honestly
Redner-M	speaker
Referat-N	paper, department
reflektieren-vb	reflect
Regent-M	regent
Register-N	register, index
regulär-adj; adv	regular; regularly
rehabilitieren-vb	rehabilitate
Rollfeld-N	runway
Reim-M	rhyme
Rolltreppe-F	escalator
reinfahren-vb	pull in (coll)
Reinfall-M	failure (coll)
reingeraten-vb	get into (coll)
reinhauen-vb	dig in (coll)
rösten-vb	roast
reinpassen-vb	fit in
rostig-adj; adv	rusty; rustily
reinwaschen-vb	clear
Rotation-F	rotation
Reisepass-M	passport
Rotznase-F	brat (coll), running nose
reizbar-adj; adv	irritable; testily
Rowdy-M	thug
reizvoll-adj; adv	appealing; delightfully
rüberbringen-vb	convey (coll)
rekonstruieren-vb	reconstruct
Rubin-M	ruby
Rekonstruktion-F	reconstruction
Renaissance-F	Renaissance
Rückschlag-M	setback
rüde-adj; adv	rude; rudely
Rugby-N	rugby
ruhelos-adj; adv	restless; restlessly
Renovierung-F	renovation
ruhen-vb	rest
Rentier-N; M	reindeer; rentier
Ruhestätte-F	resting place
Rentner-M	pensioner
rühmen-vb	praise
Repräsentant-M	representative
ruhmreich-adj	glorious
Rumänien-N	Romania
rumkriegen-vb	persuade (coll)
Rundgang-M	tour
rundum-adv	round, completely
Revolverheld-M	gunfighter
Reservoir-N	reservoir
Resolution-F	resolution, petition
Rettungsring-M	life preserver
Revolte-F	revolt
Riecher-M	nose (coll)
Ringkampf-M	wrestling
Ringrichter-M	referee
ringsum-adv	around
rinnen-vb	flow, slip
Ritus-M	rite
ritzen-vb	carve
Robe-F	gown
röcheln-vb	wheeze
rupfen-vb	pluck
Rüssel-M	trunk, snout (coll)
Ruß-M	soot
rüsten-vb	prepare, arm
rutschig-adj	slippery
rütteln-vb; N	shake, rattling
Sadist-M	sadist
säen-vb	sow
saftig-adj	juicy
Sägemehl-N	sawdust
Sakrileg-N	sacrilege
Salto-M	flip
Samariter-M	Samaritan
Sammelpunkt-M	meeting point
Sandsturm-M	sandstorm
Sauberkeit-F	cleanliness
Sauerkraut-N	sauerkraut
Säugetier-N	mammal
saukalt-adj	freezing cold (coll)
Saustall-M	mess (coll)
Schabe-F	cockroach
schaben-vb	scrape
Schafott-N	scaffold
schälen-vb	peel
Schalldämpfer-M	silencer
Schaltkreis-M	circuit
Schaltung-F	circuit, gearshift
Schamhaar-N	pubic hair
schändlich-adj;	shameful; shamefully
Scharfsinn-M	acumen
Schatz-M	treasure, sweetheart
Schaukelstuhl-M	rocking chair
Scheideweg-M	crossroads
scheuen-vb; vbr	shun; be afraid
schieflaufen-vb	go wrong (coll)
Schienbein-N	shin
Schießeisen-N	gun (coll)
Schießerei-F	shooting
Schießstand-M	shooting range
Schiffbruch-M	shipwreck
schikanieren-vb	bully
Schilf-N	reed
schimmeln-vb	get moldy
Schimpfwort-N	swear word
Schläfchen-N	nap
schlaflos-adj; adv	sleepless; sleeplessly
Schlafplatz-M	place to stay
Schlagstock-M	baton
schlechthin-adv	per se, quite
schleimig-adj	slimy
Schlepper-M	tractor, tug
schleunig-adj; adv	speedy, immediately
schleusen-vb	smuggle
Schließung-F	closure
Schluckauf-M	hiccup
schlummern-vb	slumber
schmackhaft-adj;	tasty; palatably
Schmeichelei-F	flattery
schmerzvoll-adj;	painful; painfully
schmierig-adj	greasy (coll)
schmollen-vb	sulk
schmusen-vb	cuddle (coll)
schnaufen-vb; N	huff; wheeze
Schnauzbart-M	mustache
Schnauze-F	snout
Schneeball-M	snowball
Schnitzel-N	cutlet
Schnupftabak-M	snuff
Schotter-M	gravel, money (coll)
schottisch-adj	Scottish
Schottland-N	Scotland
Schramme-F	scratch
Schreiner-M	carpenter
Schüchternheit-F	shyness
Schürzenjäger-M	womanizer (coll)
Schusswechsel-M	shooting
Schusswunde-F	bullet wound
schutzlos-adj	vulnerable
Schwachpunkt-M	weakness
Schwachstelle-F	weakness
Schwan-M	swan
Seitenstraße-F	side street
Sense-F	scythe
Sensibilität-F	sensitivity
Seriennummer-F	serial number
sezieren-vb; N	dissect; dissection
Signalhorn-N	bugle
signalisieren-vb	signal
Signalton-M	beep
Signatur-F	signature
Simulator-M	simulator
simulieren-vb	simulate
sinnlich-adj; adv	sensual; sensually
Skalp-M	scalp
skandalös-adj;	scandalous;
skeptisch-adj; adv	scandalously
Skizze-F	sketch
Sohle-F	sole
schwärmen-vb	fancy, swarm
schweigend-adv;	in silence; silent
Schweinestall-M	pigsty
schwenken-vb; N	pivot, swing; pivoting
schwerlich-adv	hardly, scarcely
schwermütig-adj	wistful, depressed
Seelenfrieden-M	peace of mind
Seelenheil-N	salvation
seinerzeit-adv	at the time
Sonett-N	sonnet
Sonnencreme-F	sunscreen
Sonnenstich-M	sunstroke
sorglos-adj; adv	carefree; carelessly
sorgsam-adv; adj	carefully; careful
Spule-F	coil, reel
Spülung-F	flushing
Stabilisator-M	stabilizer
Stabschef-M	chief of staff
Stachel-M	spike, sting
Stachelschwein-N	porcupine
Stadtrand-M	outskirts
Stall-M	stable
Stammkunde-M	regular (customer)
Ständchen-N	serenade
Standesamt-N	registry office
starrköpfig-adj;	stubborn; stubbornly
stattlich-adj; adv	considerable,
Statur-F	stature, build
staubig-adj	dusty
Steg-M	jetty, bridge, web
stemmen-vb; vbr	stem; brace
Sterblichkeit-F	mortality
steril-adj; adv	sterile; sterilely
sterilisieren-vb	sterilize
Sternbild-N	constellation
Sternenstaub-M	stardust
Stickerei-F	embroidery
stickig-adj; adv	stuffy; stuffily
Stierkampf-M	bullfight
stilvoll-adj; adv	stylish; stylishly
stimulieren-vb	stimulate
Stirnband-N	headband
Stöckchen-N	(little) stick
Spähtrupp-M	patrol
Spange-F	buckle, braces
spaßen-vb	joke
Spaßvogel-M	joker (coll)
Spatzenhirn-N	birdbrain (coll)
Specht-M	woodpecker
Speer-M	spear
speicheln-vb	salivate
Spektrum-N	range
Sperrstunde-F	curfew
Spielraum-M	scope
Spielzug-M	move
spießig-adj	stuffy (coll)
splitternackt-adj	stark naked
Spontaneität-F	spontaneity
Sprechanlage-F	intercom
Sprechstunde-F	consultation, surgery
spreizen-vb	spread
Sprengkörper-M	explosive device
Sprengladung-F	explosive charge
Sprengsatz-M	explosive device
Springbrunnen-M	fountain
Spuk-M	haunting
stocksauer-adj	furious (coll)
Teamarbeit-F	teamwork
störend-adj; adv	disturbing; disturbingly
störrisch-adj; adv	stubborn; stubbornly
stranden-vb	get stranded
Strandhaus-N	beach house
Straßensperre-F	roadblock
strategisch-adv;	strategically; strategic
streitig-adj	debatable, contested
stressig-adj; adv	stressful; stressfully
Striptease-M/N	striptease
Stube-F	parlor
stubenrein-adj	housebroken
stutzen-vb	trim
Symphonie-F	symphony
Tafelrunde-F	round table
tagaus-adv	day out
tagein-adj	day in
taktisch-adj; adv	tactical; strategically
taktlos-adj; adv	tactless; tactlessly
Talkshow-F	talk show
Tarantel-F	tarantula
Taschendieb-M	pickpocket
Taschenmesser-N	pocket knife
Täufer-M	baptist
Telefonleitung-F	phone line
telegrafieren-vb	telegraph
Telepathie-F	telepathy
Terminplan-M	schedule
Termite-F	termite
terrorisieren-vb	terrorize
terroristisch-adj	terrorist
Teufelskreis-M	vicious circle
Tiefgarage-F	underground car park
tiefgründig-adj;	deep; in depth
tilgen-vb	pay off
Tippfehler-M	typo
Tischgebet-N	grace
Tischler-M	carpenter
Titan-M	titanium, titan
todernst-adj	dead serious
todkrank-adj	terminally ill
todmüde-adj	dead tired
Todsünde-F	cardinal sin
tolerant-adj; adv	tolerant; tolerantly
Tollpatsch-M	clutz (coll)
